headline,date,doc_type,material_type,section,keywords
Three Colorado Officers Resign After Arrest of Woman With Dementia,2021-05-01,article,News,,"['Police Brutality, Misconduct and Shootings', 'Suits and Litigation (Civil)', 'Dementia']"
Manchin says he won’t support a D.C. statehood bill.,2021-05-01,article,News,,"['Statehood Movement for Washington, DC', 'United States Politics and Government']"
MoMA Blocks Protesters Who Planned to Demonstrate Inside,2021-05-01,article,News,,"['Museums', 'Demonstrations, Protests and Riots', 'Art']"
"Eli Broad, Who Helped Reshape Los Angeles, Dies at 87",2021-05-01,article,Obituary (Obit),,"['Museums', 'Art', 'Deaths (Obituaries)', 'Philanthropy', 'Education (K-12)']"
"Corrections: May 1, 2021",2021-05-01,article,Correction,,[]
Quotation of the Day: Soul-Searching in Israel After Deadly Stampede at Religious Site,2021-05-01,article,Quote,,[]
Screwballs,2021-05-01,article,News,,"['Crossword Puzzles', 'Ties (Apparel)']"
Looking for a Weekend Excursion? Try Craft Shop Hopping,2021-05-01,article,News,,"['Ceramics and Pottery', 'Art', 'Quarantine (Life and Culture)', 'Handicrafts', 'Small Business', 'Content Type: Service']"
Medina Spirit Wins the 147th Kentucky Derby,2021-05-01,article,News,,"['Horse Racing', 'Kentucky Derby', 'Triple Crown (Horse Racing)', 'Jockeys, Drivers and Trainers', 'Doping (Sports)']"
Tom Brady Charted a New Path. Aaron Rodgers Struggles to Do the Same.,2021-05-01,article,News,,"['Football', 'Free Agents (Sports)', 'Draft and Recruitment (Sports)']"
Pandemic Inspector General Warns of Oversight Breakdown,2021-05-01,article,News,,"['United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Inspectors General']"
23 Candidates Are on Ballot for Open Texas Congressional Seat,2021-05-01,article,News,,"['Elections, House of Representatives', 'United States Politics and Government', 'Endorsements']"
"As New York City Reopens, Its Recovery Will Hinge on the Next Mayor",2021-05-01,article,News,,"['Elections, Mayors', 'Primaries and Caucuses', 'Coronavirus Reopenings']"
May Vocabulary Challenge,2021-05-01,article,News,,[]
"Global Virus Cases Reach New Peak, Driven by India and South America",2021-05-01,multimedia,Interactive Feature,,"['Coronavirus (2019-nCoV)', 'Hospitals', 'Disease Rates']"
Bill Nye Is Still Having Fun With Science,2021-05-01,article,News,,"['Content Type: Service', 'Science and Technology', 'Social Media', 'Advertising and Marketing']"
Digital Horses Are the Talk of the Crypto World,2021-05-01,article,News,,"['Horse Racing', 'Nonfungible Tokens (NFTs)', 'Computers and the Internet', 'Computer and Video Games']"
From Best Friends to Platonic Spouses,2021-05-01,article,News,,"['Marriages', 'Friendship']"
"Why a $10,000 Tax Deduction Could Hold Up Trillions in Stimulus Funds",2021-05-01,article,News,,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Property Taxes', 'Income Tax', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'High Net Worth Individuals', 'Stimulus (Economic)', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)']"
Decorating Scandal Engulfs Boris Johnson and Puts Fiancée in Spotlight,2021-05-01,article,News,,"['Politics and Government', 'Interior Design and Furnishings', 'Embezzlement', 'Women and Girls', 'Discrimination', 'Content Type: Personal Profile']"
"After Years of Protests, a New Jersey County Ends Its ICE Jail Contract",2021-05-01,article,News,,"['Immigration Detention', 'Illegal Immigration', 'Politics and Government', 'Demonstrations, Protests and Riots']"
Brie Larson Pivoted to Video,2021-05-01,article,News,,"['Content Type: Personal Profile', 'Quarantine (Life and Culture)', 'Video Recordings, Downloads and Streaming', 'Actors and Actresses']"
N.J. Teacher Suspended After Calling George Floyd a ‘Criminal’,2021-05-01,article,News,,"['Black People', 'Blacks', 'Black Lives Matter Movement', 'Education (K-12)', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Teachers and School Employees']"
Arnold Schwarzenegger Is No Longer the Governor of California. Right?,2021-05-01,article,News,,"['Governors (US)', 'Politics and Government', 'Content Type: Personal Profile']"
Should You Renovate the Kitchen Before You Sell?,2021-05-01,article,News,,"['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Kitchens']"
"Joe Biden, the Reverse Ronald Reagan",2021-05-01,article,News,,['United States Politics and Government']
"Fierce Foes, Iran and Saudi Arabia Secretly Explore Defusing Tensions",2021-05-01,article,News,,"['United States International Relations', 'War and Armed Conflicts', 'International Relations']"
"‘Every Time I’m Calling, Someone Has Died’: The Anguish of India’s Diaspora",2021-05-01,article,News,,"['Politics and Government', 'Families and Family Life', 'Indian-Americans', 'Coronavirus (2019-nCoV)', 'Grief (Emotion)']"
A Search for Remembrance After the Sandy Hook Massacre,2021-05-01,article,News,,"['Newtown, Conn, Shooting (2012)', 'Monuments and Memorials (Structures)']"
"G.O.P. Seeks to Empower Poll Watchers, Raising Intimidation Worries",2021-05-01,article,News,,"['Elections', 'Voting and Voters', 'Discrimination', 'Black People', 'Blacks', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'United States Politics and Government', 'Law and Legislation', 'Presidential Election of 2020']"
India’s Covid-19 Crisis Shakes Modi’s Image of Strength,2021-05-01,article,News,,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Nationalism (Theory and Philosophy)', 'Deaths (Fatalities)', 'Disease Rates']"
Linfield University Fires Professor Who Spoke Out About Misconduct Cases,2021-05-01,article,News,,"['Colleges and Universities', 'Sexual Harassment', 'Discrimination', 'Jews and Judaism', 'ANTI-SEMITISM', 'Sex Crimes']"
What History Can Teach Banks About Making Change,2021-05-01,article,News,,"['Civil Rights and Liberties', 'Race and Ethnicity', 'Banking and Financial Institutions', 'Municipal Bonds', 'Corporate Social Responsibility']"
"From the Past, a Chilling Warning About the Extremists of the Present",2021-05-01,article,News,,"['Fringe Groups and Movements', 'Right-Wing Extremism and Alt-Right', 'Neo Nazi Groups', 'Storming of the US Capitol (Jan, 2021)', 'Whites']"
Celebrities Are Endorsing Covid Vaccines. Does It Help?,2021-05-01,article,News,,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Celebrities']"
Berkshire Hathaway Shows a Rebound From the Pandemic,2021-05-01,article,News,,['Company Reports']
Recriminations Intensify After Deadly Israel Stampede,2021-05-01,article,News,,"['Stampedes', 'Orthodox Judaism']"
Nepal runs out of hospital beds as India’s outbreak spills across the border.,2021-05-01,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']"
It Only Takes a Few People to Change Your State’s Congressional Seats,2021-05-01,multimedia,Interactive Feature,,"['Census', 'Redistricting and Reapportionment']"
Pandemic restrictions on foreign seasonal workers could crimp the U.S. summer.,2021-05-01,article,News,,"['internal-essential', 'Foreign Workers', 'Travel Warnings', 'Summer (Season)', 'Coronavirus (2019-nCoV)', 'Labor and Jobs']"
Cook for Your Cravings,2021-05-01,article,News,,[]
"Hundreds Reported Abnormal Menstruation After Exposure to Tear Gas, Study Finds",2021-05-01,article,News,,"['Tear Gas', 'Demonstrations, Protests and Riots', 'Menstruation', 'Research']"
The Jimmy Carter and Joe Biden Show,2021-05-01,article,Op-Ed,,"['United States Politics and Government', 'Presidents and Presidency (US)']"
"For Richard Branson, the Romance of Space Tourism Meets Reality",2021-05-01,article,Op-Ed,,"['Private Spaceflight', 'Rocket Science and Propulsion']"
"In a Pandemic, Finding Comfort in the Arts",2021-05-01,article,Letter,,"['Poetry and Poets', 'Theater', 'Coronavirus (2019-nCoV)']"
A Year of ‘Languishing’ and ‘Fallow Space’,2021-05-01,article,Letter,,"['Coronavirus (2019-nCoV)', 'Psychology and Psychologists', 'Depression (Mental)', 'Emotions']"
Covid Isolation: A Reprieve From the Stresses of Racism,2021-05-01,article,Letter,,"['Race and Ethnicity', 'Coronavirus (2019-nCoV)', 'Black People', 'Blacks', 'Anxiety and Stress']"
How to Make Your Small Talk Big,2021-05-01,article,Op-Ed,,"['Quarantine (Life and Culture)', 'Anxiety and Stress', 'Grief (Emotion)', 'Loneliness', 'Friendship']"
Biden’s Expansive Infrastructure Plan Hits Close to Home for McConnell,2021-05-01,article,News,,"['Infrastructure (Public Works)', 'United States Politics and Government', 'Bridges and Tunnels', 'American Jobs Plan (2021)']"
